"","Label","X.1","X","Species","Treatment","Number","Sample","Recovered","NOTES","Airbrush_Date","Airbrush_volume","Airbrush_Initials","Aliquot_Date","Aliquot_Initials","Chl_box","Host_PTAC_box","Sym_PTAC_box","Sym_density_box","Ash_Bag","Skeleton_Dry_Date","Skeleton_Dry_Initials","Row.names","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"67","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",13,0.0003404,102.46,0,154.318,-92.603,0.367,"C3","H"
"68","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",2,0.0002083,143.306,87.314,203.7,-88.107,0.224,"C1","CH"
"69","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",12,0.02,147.166,0,212,0,0,"C2","CA"
"70","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",16,0.0002495,86.86,0.559,148.74,-1.58,0.269,"C3","CW"
"71","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",19,0.0004192,114.169,71.598,165.825,-109.622,0.452,"C4","H"
"72","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",30,0.062,146.121,0,227,0,0,"C5","CA"
"73","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",17,0.121,109.926,0,194,0,0,"C3","A"
"74","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",27,0.0003335,146.022,0.669,203.602,6.063,0.359,"C5","W"
"75","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",1,0.0003464,122.478,0.333,197.707,-74.445,0.373,"C1","H"
"76","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",29,0.115,139.665,0,227,0,0,"C5","A"
"77","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",6,0.061,143.943,0,222,0,0,"C1","CA"
"78","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",4,0.0002289,127.874,0.333,201.333,0,0.246,"C1","CW"
"79","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",5,0.112,139.44,0,222,0,0,"C1","A"
"80","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",15,0.0003935,108.265,1.033,174,0.25,0.424,"C3","W"
"81","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",11,0.114,147.198,0,213,0,0,"C2","A"
"82","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",26,0.0002375,116.779,0.055,223.622,-71.171,0.255,"C5","CH"
"83","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",22,0.0002675,103.426,0.071,160.495,7.765,0.288,"C4","CW"
"84","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",24,0.081,110.039,0,196,0,0,"C4","CA"
"85","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",8,0.0001955,140.197,0.385,195.966,-104.281,0.21,"C2","CH"
"86","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",25,0.0003515,168.274,0.811,215.556,-79.294,0.379,"C5","H"
"87","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",23,0.143,109.39,0,196,0,0,"C4","A"
"88","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",14,0.0002366,77.029,0.048,154.352,-94.175,0.254,"C3","CH"
"89","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",9,0.0003318,162.16,3.339,207.594,-10.146,0.357,"C2","W"
"90","OFAV_PP_0HS3",2,2,"OFAV","PP","17","0HS3","p","","3/23/22","20","DM","3/22/22","DM","4","1","2","3","C","4/21/22","TL",7,0.0003644,166.882,95.013,207.333,-91.891,0.393,"C2","H"
"91","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",3,0.0003379,122.069,72.785,173.669,32.183,0.372,"C1","W"
"92","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",4,0.0001985,116.363,1.923,166.333,34.875,0.219,"C1","CW"
"93","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",24,0.038,127.804,0,224,0,0,"C4","CA"
"94","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",16,0.0002026,131.271,1.049,185,3.489,0.223,"C3","CW"
"95","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",26,0.0001878,81.969,0.171,134.305,-99.834,0.207,"C5","CH"
"96","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",30,0.03,104.692,0,195,0,0,"C5","CA"
"97","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",29,0.094,120.598,0,197,0,0,"C5","A"
"98","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",19,0.0003388,121.878,0.007,182.139,-94.591,0.373,"C4","H"
"99","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",2,0.0002034,113.163,0.359,236.333,-76.64,0.223,"C1","CH"
"100","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",12,0.036,100.532,0,190,0,0,"C2","CA"
"101","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",13,0.0003896,134.356,1,195.128,-78.69,0.429,"C3","H"
"102","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",9,0.0003314,106.024,2.526,166.99,20.456,0.365,"C2","W"
"103","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",14,0.0001903,93.117,0.333,142.848,-87.769,0.209,"C3","CH"
"104","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",15,0.0003765,140.202,0.677,216.667,8.289,0.415,"C3","W"
"105","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",21,0.0003683,130.51,0.282,201.869,4.604,0.406,"C4","W"
"106","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",27,0.000283,113.029,0.491,151.909,23.658,0.311,"C5","W"
"107","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",17,0.131,143.354,0,225,0,0,"C3","A"
"108","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",18,0.041,124.734,0,204,0,0,"C3","CA"
"109","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",25,0.0003699,119.758,0.645,185.084,-99.211,0.407,"C5","H"
"110","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",5,0.111,141.669,0,239,0,0,"C1","A"
"111","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",10,0.000219,92.383,0.624,151.89,18.435,0.241,"C2","CW"
"112","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",11,0.105,113.561,0,190,0,0,"C2","A"
"113","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",6,0.043,145.664,0,238,0,0,"C1","CA"
"114","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",22,0.0002001,116.343,0,173,0,0.22,"C4","CW"
"115","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",23,0.115,146.89,0,224,0,0,"C4","A"
"116","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",28,0.0001755,97.812,0.687,154.248,18.947,0.192,"C5","CW"
"117","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",1,0.0003445,135.187,0.768,232,-66.371,0.38,"C1","H"
"118","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",7,0.0003568,110.921,64.503,175.925,-84.447,0.393,"C2","H"
"119","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",8,0.0001895,75.608,0.015,129.454,-83.246,0.208,"C2","CH"
"120","OFAV_PP_0HS4",3,3,"OFAV","PP","18","0HS4","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",20,0.0001837,110.562,0.733,195.944,-100.856,0.202,"C4","CH"
"121","OFAV_PP_2HS12",4,4,"OFAV","PP","19","2HS12","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",30,0.046,121.188,0,207,0,0,"C5","CA"
"122","OFAV_PP_2HS12",4,4,"OFAV","PP","19","2HS12","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",22,0.0002388,111.121,0.333,194.99,7.542,0.262,"C4","CW"
"123","OFAV_PP_2HS12",4,4,"OFAV","PP","19","2HS12","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",4,0.0002429,125.139,0.362,195.04,12.529,0.267,"C1","CW"
"124","OFAV_PP_2HS12",4,4,"OFAV","PP","19","2HS12","p","","3/25/22","?","?","3/25/22","?","?","?","?","?","B","4/15/22","TL",29,0.114,142.382,0,225,0,0,"C5","A"
