colony_id,species,treatment,number,sample,recovered,sym_count_date,initials,squares_counted,count1,count2,count3,count4,count5,count6,count7,count8,average_per_square,st_dev_per_square,cv,,,,,,,
OFAV_PP_358,OFAV,PP,6,358,p,11/7/22,TC,2,125,119,135,137,112,123,,,62.58333333,4.758326036,7.603184079,,,,,,,
OFAV_PP_359,OFAV,PP,14,359,p,10/24/22,TL,4,107,125,89,100,120,120,,,27.54166667,3.490761617,12.67447486,,,,,,,
OFAV_PP_360,OFAV,PP,8,360,p,11/14/22,TC,2,127,103,107,125,108,128,,,58.16666667,5.741660619,9.871049775,,,,,,,
OFAV_PP_362,OFAV,PP,9,362,p,11/14/22,CE,2,120,105,99,122,99,185,104,112,59.125,14.1818546,23.98622343,,,,,,,
OFAV_PP_365,OFAV,PP,10,365,p,11/7/22,TC,4,129,119,109,115,127,123,,,30.08333333,1.888562063,6.277768631,,,,,,,
OFAV_PP_366,OFAV,PP,11,366,p,11/22/22,CE,2,152,144,135,133,137,140,,,70.08333333,3.484489441,4.971923103,,,,,,,
OFAV_PP_367,OFAV,PP,12,367,p,11/28/22,CE,2,148,133,114,162,142,147,,,70.5,8.124038405,11.52345873,,,,,,,
OFAV_PP_368,OFAV,PP,13,368,p,11/15/22,CE,4,126,119,150,169,126,124,,,33.91666667,4.895576234,14.4341314,,,,,,,
OFAV_PP_369,OFAV,PP,14,369,p,11/15/22,CE,4,117,137,106,109,111,120,,,29.16666667,2.804757862,9.616312671,,,,,,,
OFAV_PP_371,OFAV,PP,16,371,p,11/21/22,TC,2,131,135,112,141,132,119,,,64.16666667,5.382068995,8.387639992,,,,,,,
OFAV_PP_9AZ5,OFAV,PP,24,9AZ5,p,11/22/22,CE,4,85,76,70,74,68,93,,,19.41666667,2.390955179,12.31393225,,,,,,,
OFAV_PP_9AZ9,OFAV,PP,25,9AZ9,p,10/31/22,TC,4,102,96,112,123,130,126,,,28.70833333,3.443895566,11.99615291,,,,,,,
OFAV_PP_9EV35,OFAV,PP,26,9EV35,p,11/7/22,CE,4,62,59,72,62,56,51,,,15.08333333,1.765408357,11.7043648,,,,,,,
OFAV_PP_9EV4,OFAV,PP,27,9EV4,p,11/22/22,CE,3,129,110,109,136,135,111,,,40.55555556,4.339312115,10.69967371,,,,,,,
OFAV_PP_9EV40,OFAV,PP,28,9EV40,p,11/7/22,TC,4,130,135,106,123,107,106,,,29.45833333,3.291719409,11.17415358,,,,,,,
OFAV_PP_9EV5,OFAV,PP,29,9EV5,p,11/22/22,CE,2,108,104,124,122,122,100,,,56.66666667,5.278888772,9.315686068,,,,,,,
OFAV_PP_9GT35,OFAV,PP,30,9GT35,p,10/31/22,TC,3,125,110,103,109,105,101,,,36.27777778,2.878399761,7.934333186,,,,,,,
OFAV_PP_9GT4,OFAV,PP,31,9GT4,p,11/14/22,CE,4,87,97,90,101,100,83,,,23.25,1.850675552,7.959894849,,,,,,,
OFAV_PP_9GT46,OFAV,PP,32,9GT46,p,9/19/22,CE,3,139,148,150,155,140,162,,,49.66666667,2.936362073,5.912138401,,,,,,,
OFAV_PP_9IR44,OFAV,PP,33,9IR44,p,10/18/22,TL,3,121,115,137,121,122,123,,,41.05555556,2.444191906,5.953376767,,,,,,,
OFAV_PP_9JQ4,OFAV,PP,34,9JQ4,p,11/14/22,TC,2,111,118,124,114,127,122,,,59.66666667,3.060501048,5.129331366,,,,,,,
OFAV_PP_9JQ42,OFAV,PP,35,9JQ42,p,11/7/22,TC,4,119,131,109,106,111,127,,,29.29166667,2.551551815,8.710845458,,,,,,,
OFAV_PP_9JQ43,OFAV,PP,Others,9JQ43,p,9/15/22,TC,4,100,111,105,120,120,133,,,28.70833333,2.989216731,10.41236597,,,,,,,
OFAV_PP_9JQ53,OFAV,PP,37,9JQ53,p,11/28/22,CE,4,97,115,121,110,122,110,,,28.125,2.295375786,8.161336129,,,,,,,
OFAV_PP_AZ,OFAV,PP,38,AZ,p,9/21/22,TC,3,109,108,110,92,119,101,,,35.5,3.04594448,8.580125297,,,,,,,
OFAV_PP_CX,OFAV,PP,39,CX,p,11/7/22,CE,2,110,93,113,108,126,117,,,55.58333333,5.471897904,9.844493979,,,,,,,
OFAV_PP_DW,OFAV,PP,40,DW,p,9/19/22,TC,4,82,95,97,97,85,74,,,22.08333333,2.375219288,10.75570998,,,,,,,
OFAV_PS_0HS3,OFAV,PS,17,0HS3,p,8/2/22,TL,4,104,110,117,123,111,120,,,28.54166667,1.77071078,6.203950178,2nd,,,,,,
OFAV_PS_0HS4,OFAV,PS,18,0HS4,p,6/29/22,TL,3,111,85,92,73,93,82,,,29.77777778,4.29297445,14.41670524,,,,,,,
OFAV_PS_2HS12,OFAV,PS,19,2HS12,p,7/2/22,TL,4,106,93,82,74,107,103,,,23.54166667,3.425699442,14.55164365,,,,,,,
OFAV_PS_2HS48,OFAV,PS,21,2HS48,p,7/2/22,TL,4,131,141,148,137,126,122,,,33.54166667,2.425987771,7.232758573,,,,,,,
OFAV_PS_2HS6,OFAV,PS,22,2HS6,p,7/14/22,TL,2,178,171,159,115,148,159,,,77.5,11.10405331,14.32781073,,,,,,,
OFAV_PS_310,OFAV,PS,1,310,p,8/1/22,TL,3,124,171,143,136,133,134,,,46.72222222,5.43002626,11.62193492,2nd,,,,,,
OFAV_PS_313,OFAV,PS,2,313,p,6/29/22,TL,3,124,145,118,93,127,118,,,40.27777778,5.623034636,13.96063772,,,,,,,
OFAV_PS_352,OFAV,PS,3,352,p,8/10/22,TL,4,86,131,107,110,87,115,97,101,26.0625,3.738673371,14.34502972,2nd,,,,,,
OFAV_PS_356,OFAV,PS,4,356,p,7/5/22,TL,4,119,105,108,106,82,92,,,25.5,3.259601203,12.78274981,,,,,,,
OFAV_PS_357,OFAV,PS,5,357,p,7/13/22,TL,4,205,262,204,194,234,205,,,54.33333333,6.421967507,11.8195721,,,,,,,
OFAV_PS_359,OFAV,PS,7,359,p,8/10/22,TL,4,83,85,80,90,67,74,,,19.95833333,2.058012796,10.31154637,2nd,,,,,,
OFAV_PS_360,OFAV,PS,8,360,p,7/5/22,TL,3,104,109,92,95,65,101,94,86,31.08333333,4.506608904,14.49847368,,,,,,,
OFAV_PS_362,OFAV,PS,9,362,p ,7/14/22,TL,3,132,130,117,133,147,108,,,42.61111111,4.538314257,10.65054193,,,,,,,
OFAV_PS_365,OFAV,PS,10,365,p1,7/2/22,TL,2,145,109,105,98,106,90,111,112,54.75,8.048957342,14.70129195,,,,,,,
OFAV_PS_365,OFAV,PS,10,365,p2,8/1/22,TL,3,123,107,128,142,106,95,,,38.94444444,5.748107579,14.75976269,2nd,,,,,,
OFAV_PS_367,OFAV,PS,12,367,p,7/29/22,TL,4,125,135,116,139,148,122,,,32.70833333,2.980841604,9.113401082,2nd,,,,,,
OFAV_PS_368,OFAV,PS,13,368,p,6/30/22,TL,2,162,168,187,154,127,151,,,79.08333333,9.956990844,12.59050476,,,,,,,
OFAV_PS_369,OFAV,PS,14,369,p,7/14/22,TL,4,134,170,202,162,151,173,,,41.33333333,5.726400848,13.8541956,,,,,,,
OFAV_PS_370,OFAV,PS,15,370,p,8/10/22,TL,2,145,157,124,136,122,103,,,65.58333333,9.515338495,14.50877534,2nd,,,,,,
OFAV_PS_371,OFAV,PS,16,371,p,6/30/22,TL,3,141,148,169,124,145,141,,,48.22222222,4.847297834,10.05200012,,,,,,,
OFAV_PS_9AZ5,OFAV,PS,24,9AZ5,p,8/10/22,TL,4,61,64,58,61,52,51,,,14.45833333,1.317352142,9.111369284,2nd,,,,,,
OFAV_PS_9AZ9,OFAV,PS,25,9AZ9,p,8/10/22,TL,3,138,129,105,150,99,118,110,111,40,5.849976258,14.62494065,2nd,,,,,,
OFAV_PS_9EV35,OFAV,PS,26,9EV35,p,7/13/22,TL,4,73,59,74,76,67,56,,,16.875,2.090155497,12.38610665,,,,,,,
OFAV_PS_9EV4,OFAV,PS,27,9EV4,p,8/10/22,TL,4,88,78,64,91,67,87,,,19.79166667,2.869741568,14.49974687,3rd,,,,,,
OFAV_PS_9EV40,OFAV,PS,28,9EV40,p,8/2/22,TL,4,112,120,104,114,80,115,,,26.875,3.611613213,13.43856079,2nd,,,,,,
OFAV_PS_9EV5,OFAV,PS,29,9EV5,p,8/1/22,TL,4,129,149,128,119,112,106,,,30.95833333,3.805971186,12.2938504,3rd,,,,,,
OFAV_PS_9GT35,OFAV,PS,30,9GT35,p,6/29/22,TL,2,136,134,141,126,125,114,,,64.66666667,4.833908012,7.475115482,,,,,,,
OFAV_PS_9GT4,OFAV,PS,31,9GT4,p,8/1/22,TL,4,54,56,40,52,47,49,,,12.41666667,1.437590577,11.57791069,2nd,,,,,,
OFAV_PS_9GT46,OFAV,PS,32,9GT46,p,6/29/22,TL,2,112,107,121,101,111,96,,,54,4.404543109,8.156561313,,,,,,,
OFAV_PS_9IR44,OFAV,PS,33,9IR44,p,7/14/22,TL,4,141,130,137,136,131,138,,,33.875,1.05770979,3.122390524,,,,,,,
OFAV_PS_9JQ4,OFAV,PS,34,9JQ4,p,7/5/22,TL,4,128,120,148,162,124,121,,,33.45833333,4.302373376,12.85889926,,,,,,,
OFAV_PS_9JQ42,OFAV,PS,35,9JQ42,p,7/2/22,TL,2,122,138,118,139,91,111,,,59.91666667,8.985636687,14.99689016,,,,,,,
OFAV_PS_9JQ431,OFAV,PS,36,9JQ431,p,7/2/22,TL,3,182,220,199,219,182,200,,,66.77777778,5.596295071,8.380475147,,,,,,,
OFAV_PS_9JQ53,OFAV,PS,37,9JQ53,p,7/2/22,TL,3,167,151,163,159,163,126,,,51.61111111,5.043881515,9.772859771,,,,,,,
OFAV_PS_AZ,OFAV,PS,38,AZ,p,6/30/22,TL,3,116,74,80,95,88,82,82,85,29.25,4.315898994,14.75521024,,,,,,,
OFAV_PS_CX,OFAV,PS,39,CX,p,8/2/22,TL,4,115,114,128,112,103,115,,,28.625,2.00468202,7.003255964,2nd,,,,,,
OFAV_PS_DW,OFAV,PS,40,DW,p,8/1/22,TL,4,62,67,58,54,46,54,,,14.20833333,1.819455047,12.80554872,3rd,,,,,,
OFAV_PS_EV,OFAV,PS,Others,EV,p,8/10/22,TL,4,150,120,141,150,108,146,,,33.95833333,4.411396226,12.99061465,2nd,,,,,,
OFAV_PS_OHS2,OFAV,PS,Others,OHS2,p,6/30/22,TL,3,165,166,122,144,172,134,,,50.16666667,6.732178119,13.41962416,,,,,,,
OFAV_SP_0AZ24,OFAV,SP,others,0AZ24,p,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_0AZ4,OFAV,SP,1,0AZ4,p,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_0EV3,OFAV,SP,4,0EV3,p1,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_0EV3,OFAV,SP,4,0EV3,p2,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_2AZ21,OFAV,SP,7,2AZ21,p1,11/14/22,TC,2,122,129,150,154,125,139,,,68.25,6.683935966,9.793312771,,,,,,,
OFAV_SP_2AZ21,OFAV,SP,7,2AZ21,p2,12/5/22,CE,4,68,72,80,97,75,104,85,81,20.6875,3.081482714,14.89538472,,,,,,,
OFAV_SP_2AZ7,OFAV,SP,9,2AZ7,p1,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_2AZ7,OFAV,SP,9,2AZ7,p2,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_2AZ7,OFAV,SP,9,2AZ7,p3,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_2AZ7,OFAV,SP,9,2AZ7,p4,11/7/22,CE,2,110,89,129,127,118,123,,,58,7.443117626,12.83296142,,,,,,,
OFAV_SP_2JQ31,OFAV,SP,19,2JQ31,p1,12/5/22,CE,4,57,59,65,67,76,55,,,15.79166667,1.952028859,12.36113262,,,,,,,
OFAV_SP_2JQ31,OFAV,SP,19,2JQ31,p2,11/4/22,CE,4,113,83,68,85,104,80,67,52,20.375,4.980318406,24.44328052,,,,,,,
OFAV_SP_2JQ31,OFAV,SP,19,2JQ31,p3,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_2JQ8,OFAV,SP,21,2JQ8,p,11/28/22,CE,4,57,73,59,68,61,68,,,16.08333333,1.562583331,9.715544028,,,,,,,
OFAV_SP_3EV30,OFAV,SP,23,3EV30,p1,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_3EV30,OFAV,SP,23,3EV30,p2,11/4/22,CE,3,149,157,194,172,180,142,,,55.22222222,6.601907693,11.95516484,,,,,,,
OFAV_SP_3EV30,OFAV,SP,23,3EV30,p3,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_3EV30,OFAV,SP,23,3EV30,p4,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_3EV31,OFAV,SP,24,3EV31,p3,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_3JQ1,OFAV,SP,24,3JQ1,p1,11/14/22,TC,2,125,110,128,120,125,103,,,59.25,4.947221442,8.349740831,,,,,,,
OFAV_SP_3JQ1,OFAV,SP,24,3JQ1,p2,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_3JQ1,OFAV,SP,24,3JQ1,p3,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_3JQ1,OFAV,SP,24,3JQ1,p4,12/5/22,CE,3,110,88,106,92,89,196,,,37.83333333,13.81424386,36.51341989,,,,,,,
OFAV_SP_3JQ10,OFAV,SP,others,3JQ10,p,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_4DW11,OFAV,SP,25,4DW11,p,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_4EV15,OFAV,SP,28,4EV15,p,11/7/22,CE,4,52,46,53,46,27,44,48,47,11.34375,2.00863093,17.70693933,,,,,,,
OFAV_SP_6JQ16,OFAV,SP,30,6JQ16,p,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFAV_SP_8EV24,OFAV,SP,31,8EV24,p,12/5/22,CE,2,134,127,138,146,138,134,,,68.08333333,3.137143074,4.607798885,,,,,,,
OFAV_SP_9EV2,OFAV,SP,37,9EV2,p,11/4/22,CE,4,101,116,87,104,108,92,,,25.33333333,2.64417599,10.4375368,,,,,,,
OFAV_SP_DEV35,OFAV,SP,Others,DEV35,p,11/7/22,CE,4,45,50,49,46,50,43,,,11.79166667,0.731721714,6.205413829,,,,,,,
OFAV_SP_EV,OFAV,SP,Others,EV,p,11/28/22,CE,2,120,96,102,137,130,151,125,121,61.375,8.895223437,14.49323574,,,,,,,
OFAV_SS_0AZ4,OFAV,SS,1,0AZ4,p,6/24/22,TL,3,124,106,140,114,135,115,,,40.77777778,4.38516016,10.75379876,,,,,,,
OFAV_SS_0DW46,OFAV,SS,2,0DW46,p,6/24/22,TL,2,151,147,187,187,160,170,,,83.5,8.700574694,10.41984993,,,,,,,
OFAV_SS_0EV3,OFAV,SS,4,0EV3,p,6/28/22,TL,4,105,91,92,78,70,75,77,,21,3.088958832,14.70932777,,,,,,,
OFAV_SS_1AZ5,OFAV,SS,5,1AZ5,p,5/25/22,TL,4,30,48,35,34,33,39,36,30,8.90625,1.457355114,16.36328549,"Never passed, this was the best one",,,,,,
OFAV_SS_2AZ2,OFAV,SS,6,2AZ2,p,6/16/22,TL,2,161,154,175,157,119,138,,,75.33333333,9.780933834,12.98354049,,,,,,,
OFAV_SS_2AZ21,OFAV,SS,7,2AZ21,p,6/28/22,TL,3,139,144,154,118,129,132,,,45.33333333,4.179314138,9.219075305,,,,,,,
OFAV_SS_2AZ7,OFAV,SS,9,2AZ7,p1,8/10/22,TL,2,200,198,233,226,229,233,,,109.9166667,8.18178872,7.443628859,2nd,,,,,,
OFAV_SS_2AZ7,OFAV,SS,9,2AZ7,p2,8/2/22,TL,3,162,168,165,163,143,166,,,53.72222222,3.050804387,5.678849945,2nd,,,,,,
OFAV_SS_2DW40,OFAV,SS,10,2DW40,p,6/24/22,TL,2,126,128,117,117,120,123,,,60.91666667,2.311204592,3.794043106,,,,,,,
OFAV_SS_2DW44,OFAV,SS,11,2DW44,p,6/8/22,WD,2,101,115,106,116,102,100,,,53.33333333,3.573047252,6.699463598,,,,,,,
OFAV_SS_2EV10,OFAV,SS,12,2EV10,p,6/28/22,TL,4,33,46,48,38,39,39,,,10.125,1.385189518,13.68088413,,,,,,,
OFAV_SS_2EV3,OFAV,SS,13,2EV3,p,8/2/22,TL,3,176,154,159,213,173,171,,,58.11111111,6.927133981,11.92049825,2nd,,,,,,
OFAV_SS_2EV30,OFAV,SS,14,2EV30,p,8/2/22,TL,4,143,162,143,145,163,166,,,38.41666667,2.764356465,7.195721818,2nd,,,,,,
OFAV_SS_2EV34,OFAV,SS,15,2EV34,p,6/27/22,TL,4,79,79,89,76,79,72,,,19.75,1.405346932,7.11568067,,,,,,,
OFAV_SS_2EV36,OFAV,SS,16,2EV36,p,6/13/22,TL,2,129,113,144,142,149,114,,,65.91666667,7.8320921,11.8818085,,,,,,,
OFAV_SS_2EV44,OFAV,SS,17,2EV44,p,8/2/22,TL,3,155,147,148,171,170,136,,,51.5,4.603139026,8.93813403,2nd,,,,,,
OFAV_SS_2EV6,OFAV,SS,18,2EV6,p,6/27/22,TL,2,134,141,133,145,118,110,,,65.08333333,6.763258583,10.39169053,,,,,,,
OFAV_SS_2JQ31,OFAV,SS,19,2JQ31,p,6/16/22,TL,2,109,103,108,102,98,95,,,51.25,2.734044623,5.334721215,,,,,,,
OFAV_SS_2JQ6,OFAV,SS,20,2JQ6,p,8/10/22,TL,4,98,84,95,95,80,80,,,22.16666667,2.059530691,9.291115899,3rd,,,,,,
OFAV_SS_2JQ8,OFAV,SS,21,2JQ8,p,6/15/22,WD,2,110,102,114,102,132,107,,,55.58333333,5.607286926,10.08807243,,,,,,,
OFAV_SS_3EV30,OFAV,SS,23,3EV30,p,6/28/22,TL,3,103,112,95,124,90,117,,,35.61111111,4.378821083,12.29622145,,,,,,,
OFAV_SS_3JQ1,OFAV,SS,24,3JQ1,p1,8/2/22,TL,3,135,140,135,138,108,138,,,44.11111111,4.025842447,9.126594968,2nd,,,,,,
OFAV_SS_3JQ1,OFAV,SS,24,3JQ1,p2,6/24/22,TL,3,123,122,123,141,117,100,,,40.33333333,4.386849034,10.87648521,,,,,,,
OFAV_SS_4DW11,OFAV,SS,25,4DW11,p,6/14/22,TL,4,88,92,82,89,67,71,,,20.375,2.572693141,12.6267148,,,,,,,
OFAV_SS_4DW14,OFAV,SS,26,4DW14,p,6/13/22,TL,3,118,126,84,132,115,107,,,37.88888889,5.643744489,14.89551331,,,,,,,
OFAV_SS_4EV14,OFAV,SS,27,4EV14,p,6/27/22,TL,4,59,39,43,53,50,42,42,44,11.625,1.706081559,14.6759704,,,,,,,
OFAV_SS_4EV15,OFAV,SS,28,4EV15,p,6/24/22,TL,3,112,132,130,112,153,131,,,42.77777778,5.088840369,11.89599047,,,,,,,
OFAV_SS_4JQ12,OFAV,SS,29,4JQ12,p,6/15/22,WD,3,100,100,99,106,89,88,,,32.33333333,2.347575582,7.260543036,,,,,,,
OFAV_SS_6JQ16,OFAV,SS,30,6JQ16,p,8/2/22,TL,2,142,133,103,117,104,129,,,60.66666667,7.991662322,13.17306976,2nd,,,,,,
OFAV_SS_8EV24,OFAV,SS,31,8EV24,p,6/24/22,TL,2,116,117,102,102,76,110,,,51.91666667,7.552593374,14.54753138,,,,,,,
OFAV_SS_9AZ10,OFAV,SS,32,9AZ10,p,6/27/22,TL,3,141,160,121,131,139,151,,,46.83333333,4.627214185,9.880172636,,,,,,,
OFAV_SS_9AZ7,OFAV,SS,33,9AZ7,p,5/25/22,TL,3,107,132,121,113,145,98,114,,39.52380952,5.2594083,13.30693666,,,,,,,
OFAV_SS_9AZ81,OFAV,SS,34,9AZ81,p1,8/10/22,TL,4,72,80,58,64,56,53,58,57,15.5625,2.317441631,14.8911912,3rd,,,,,,
OFAV_SS_9DW37,OFAV,SS,36,9DW37,p1,5/25/22,TL,3,117,131,139,156,137,131,,,45.05555556,4.260499014,9.456101388,,,,,,,
OFAV_SS_9DW37,OFAV,SS,36,9DW37,p2,6/28/22,TL,2,124,97,102,86,84,104,,,49.75,7.26464039,14.60229224,,,,,,,
OFAV_SS_9EV2,OFAV,SS,37,9EV2,p1,6/27/22,TL,4,106,88,108,98,87,110,,,24.875,2.538454254,10.20484122,,,,,,,
OFAV_SS_9EV41,OFAV,SS,38,9EV41,p,5/25/22,TL,3,103,122,121,108,127,122,,,39.05555556,3.136995496,8.032136405,,,,,,,
OFAV_SS_9JQ5,OFAV,SS,39,9JQ5,p,6/26/22,TL,2,124,136,127,152,106,110,,,62.91666667,8.475946358,13.47170282,,,,,,,
OFRA_PP_0CX4,OFRA,PP,1,0CX4,p,10/24/22,CE,2,154,163,175,126,138,152,,,75.66666667,8.727351641,11.5339449,,,,,,,
OFRA_PP_0CX5,OFRA,PP,2,0CX5,p,10/24/22,CE,2,156,149,152,139,142,129,,,72.25,4.926966612,6.819330951,,,,,,,
OFRA_PP_0GT1,OFRA,PP,3,0GT1,p,10/14/22,TC,2,122,108,114,142,109,127,,,60.16666667,6.470445631,10.75420327,,,,,,,
OFRA_PP_0GT5,OFRA,PP,5,0GT5,p,10/17/22,TC,2,114,124,143,152,148,154,,,69.58333333,8.187897573,11.76703843,,,,,,,
OFRA_PP_1GT37,OFRA,PP,7,1GT37,p1,9/26/22,CE,3,100,86,106,126,112,110,,,35.55555556,4.435546649,12.47497495,,,,,,,
OFRA_PP_1GT37,OFRA,PP,7,1GT37,p2,10/14/22,TC,2,101,84,107,83,105,97,,,48.08333333,5.200160254,10.81489134,,,,,,,
OFRA_PP_1GT42,OFRA,PP,8,1GT42,p1,10/17/22,CE,2,173,179,155,192,135,188,,,85.16666667,10.83358974,12.72045762,,,,,,,
OFRA_PP_1GT42,OFRA,PP,8,1GT42,p2,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFRA_PP_2CX12,OFRA,PP,12,2CX12,p1,10/3/22,CE,2,235,219,219,211,186,200,,,105.8333333,8.506859977,8.037977931,,,,,,,
OFRA_PP_2CX12,OFRA,PP,12,2CX12,p2,10/24/22,CE,2,157,153,181,161,176,190,,,84.83333333,7.400450437,8.723517214,,,,,,,
OFRA_PP_2GT10,OFRA,PP,15,2GT10,p,10/26/22,TC,2,177,158,171,179,167,142,,,82.83333333,6.911343333,8.343674044,,,,,,,
OFRA_PP_2GT3,OFRA,PP,16,2GT3,p1,10/24/22,CE,2,175,173,185,157,146,171,,,83.91666667,6.988681325,8.328120745,,,,,,,
OFRA_PP_2GT3,OFRA,PP,16,2GT3,p2,10/3/22,CE,2,189,157,214,219,187,159,,,93.75,13.1139239,13.98818549,,,,,,,
OFRA_PP_2GT38,OFRA,PP,18,2GT38,p,10/17/22,CE,2,111,94,92,116,115,103,,,52.58333333,5.248015498,9.980378126,,,,,,,
OFRA_PP_2GT41,OFRA,PP,19,2GT41,p1,10/24/22,TC,2,145,124,142,133,154,135,,,69.41666667,5.228925957,7.532666445,,,,,,,
OFRA_PP_2GT41,OFRA,PP,19,2GT41,p2,10/24/22,TC,2,137,154,162,148,165,152,,,76.5,5.039841267,6.5880278,,,,,,,
OFRA_PP_2GT7,OFRA,PP,20,2GT7,p1,10/3/22,CE,2,123,110,130,121,109,107,,,58.33333333,4.654746681,7.979565739,,,,,,,
OFRA_PP_2GT7,OFRA,PP,20,2GT7,p2,10/14/22,CE,2,177,172,186,176,185,186,,,90.16666667,3.044120015,3.376103529,,,,,,,
OFRA_PP_2HS11,OFRA,PP,21,2HS11,p,10/19/22,TC,3,103,99,102,112,109,89,,,34.11111111,2.697049142,7.906658722,,,,,,,
OFRA_PP_2HS17,OFRA,PP,22,2HS17,p1,10/24/22,TC,2,142,156,160,172,173,169,,,81,5.958187644,7.355787215,,,,,,,
OFRA_PP_2HS17,OFRA,PP,22,2HS17,p2,10/17/22,CE,3,113,109,121,103,119,90,,,36.38888889,3.820509952,10.49911132,,,,,,,
OFRA_PP_2HS27,OFRA,PP,23,2HS27,p,10/17/22,CE,2,146,120,127,131,133,140,,,66.41666667,4.619704175,6.955639913,,,,,,,
OFRA_PP_2HS9,OFRA,PP,24,2HS9,p1,10/24/22,TC,2,155,131,136,146,139,143,,,70.83333333,4.191260749,5.917073999,,,,,,,
OFRA_PP_2HS9,OFRA,PP,24,2HS9,p2,10/17/22,TC,3,131,115,105,136,110,123,,,40,4.044200237,10.11050059,,,,,,,
OFRA_PP_4CX12,OFRA,PP,25,4CX12,p ,10/14/22,CE,3,140,182,162,176,165,152,,,54.27777778,5.131240555,9.453667347,,,,,,,
OFRA_PP_4HS15,OFRA,PP,27,4HS15,p,10/17/22,CE,3,126,130,138,122,102,139,,,42.05555556,4.523600664,10.75624993,,,,,,,
OFRA_PP_6EV18,OFRA,PP,29,6EV18,p,11/4/22,CE,3,110,92,93,98,73,90,,,30.88888889,4.009248567,12.97958169,,,,,,,
OFRA_PP_6GT17,OFRA,PP,30,6GT17,p,10/24/22,CE,3,136,196,129,171,164,149,147,143,51.45833333,7.232943812,14.0559232,,,,,,,
