Datetime,Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:Depth,Light CRRX,Depth CRRX,Coral,Variable,Site
40:09.0,7/19/21,6:40:09,F,655,398,1095,3,0.637,-10.2,4,13.9,6 PP Ofav,Fv/Fm,Intermediate
40:16.0,7/19/21,6:40:16,F,656,271,715,3,0.621,-10.3,4,14,6 PP Ofav,Fv/Fm,Intermediate
40:21.0,7/19/21,6:40:21,F,657,341,988,3,0.655,-10.3,4,14,6 PP Ofav,Fv/Fm,Intermediate
41:41.0,7/19/21,6:41:41,F,658,337,1104,1,0.695,-14.2,1,17.9,Ssid,Fv/Fm,Gradient
43:34.0,7/19/21,6:43:34,F,659,340,1102,2,0.691,-14.1,3,17.8,Ofra,Fv/Fm,Gradient
44:12.0,7/19/21,6:44:12,F,660,312,989,1,0.685,-13.9,1,17.6,Ssid,Fv/Fm,Gradient
44:58.0,7/19/21,6:44:58,F,661,283,979,3,0.711,-13.1,4,16.8,Aaga,Fv/Fm,Gradient
45:12.0,7/19/21,6:45:12,F,662,289,982,2,0.706,-13.1,3,16.8,Myce,Fv/Fm,Gradient
46:13.0,7/19/21,6:46:13,F,663,260,922,2,0.718,-14.4,3,18.1,Agar,Fv/Fm,Gradient
46:43.0,7/19/21,6:46:43,F,664,329,964,2,0.659,-14.7,3,18.4,Agar,Fv/Fm,Gradient
47:46.0,7/19/21,6:47:46,F,665,241,842,2,0.714,-14.3,3,18,Cnat,Fv/Fm,Gradient
48:10.0,7/19/21,6:48:10,F,666,228,750,1,0.696,-14.1,1,17.8,Cnat,Fv/Fm,Gradient
48:32.0,7/19/21,6:48:32,F,667,411,1371,2,0.7,-14,3,17.7,Ssid,Fv/Fm,Gradient
48:44.0,7/19/21,6:48:44,F,668,324,989,1,0.672,-14,1,17.7,Agar,Fv/Fm,Gradient
49:11.0,7/19/21,6:49:11,F,669,317,1003,3,0.684,-13.5,4,17.2,Past,Fv/Fm,Gradient
49:27.0,7/19/21,6:49:27,F,670,301,1054,3,0.714,-13.4,4,17.1,Ssid,Fv/Fm,Gradient
49:51.0,7/19/21,6:49:51,F,671,213,602,4,0.646,-12.6,5,16.3,Cnat,Fv/Fm,Gradient
50:20.0,7/19/21,6:50:20,F,672,415,1252,4,0.669,-12.5,5,16.2,Past,Fv/Fm,Gradient
50:47.0,7/19/21,6:50:47,F,673,362,903,3,0.599,-12.5,4,16.2,Aaga,Fv/Fm,Gradient
51:28.0,7/19/21,6:51:28,F,674,312,1044,6,0.701,-11.3,8,15,Ofav,Fv/Fm,Gradient
51:42.0,7/19/21,6:51:42,F,675,240,787,4,0.695,-11.1,5,14.8,Cnat,Fv/Fm,Gradient
51:58.0,7/19/21,6:51:58,F,676,275,1015,2,0.729,-10.8,3,14.5,Ofav,Fv/Fm,Gradient
52:23.0,7/19/21,6:52:23,F,677,336,1029,7,0.673,-10.2,9,13.9,Past,Fv/Fm,Gradient
53:04.0,7/19/21,6:53:04,F,678,362,1158,8,0.687,-9.9,11,13.6,Past,Fv/Fm,Gradient
53:29.0,7/19/21,6:53:29,F,679,278,987,7,0.718,-9.4,9,13.1,Ofav,Fv/Fm,Gradient
53:59.0,7/19/21,6:53:59,F,680,347,969,7,0.642,-9.2,9,12.9,Pstr,Fv/Fm,Gradient
54:30.0,7/19/21,6:54:30,F,681,430,1449,5,0.703,-8.8,7,12.5,Ofav,Fv/Fm,Gradient
55:08.0,7/19/21,6:55:08,F,682,376,1269,7,0.704,-8.7,9,12.4,Ofav,Fv/Fm,Gradient
55:52.0,7/19/21,6:55:52,F,683,314,1019,12,0.692,-7.9,16,11.6,Ofav,Fv/Fm,Gradient
56:33.0,7/19/21,6:56:33,F,684,228,626,5,0.636,-7.7,7,11.4,Cnat,Fv/Fm,Gradient
56:50.0,7/19/21,6:56:50,F,685,407,1350,6,0.699,-7.7,8,11.4,Ofav,Fv/Fm,Gradient
57:13.0,7/19/21,6:57:13,F,686,453,1444,13,0.686,-7.2,17,10.9,Ofav,Fv/Fm,Gradient
57:59.0,7/19/21,6:57:59,F,687,335,1076,21,0.689,-6.2,28,9.9,Ofav,Fv/Fm,Gradient
58:13.0,7/19/21,6:58:13,F,688,298,1027,12,0.71,-5.9,16,9.6,Mcav,Fv/Fm,Gradient
58:43.0,7/19/21,6:58:43,F,689,349,1125,21,0.69,-6,28,9.7,Ofav,Fv/Fm,Gradient
59:08.0,7/19/21,6:59:08,F,690,351,1173,24,0.701,-5.4,32,9.1,Ofav,Fv/Fm,Gradient
59:36.0,7/19/21,6:59:36,F,691,303,1012,24,0.701,-5.3,32,9,Past,Fv/Fm,Gradient
00:10.0,7/19/21,7:00:10,F,692,315,938,26,0.664,-5.2,34,8.9,Ofav,Fv/Fm,Gradient
00:26.0,7/19/21,7:00:26,F,693,395,1383,17,0.714,-5.1,22,8.8,Past,Fv/Fm,Gradient
01:37.0,7/19/21,7:01:37,F,694,398,1171,31,0.66,-4.6,41,8.3,Ofav,Fv/Fm,Gradient
02:13.0,7/19/21,7:02:13,F,695,321,979,33,0.672,-4.3,43,8,Cnat,Fv/Fm,Gradient
02:31.0,7/19/21,7:02:31,F,696,357,999,38,0.643,-4,50,7.7,Pstr,Fv/Fm,Gradient
02:44.0,7/19/21,7:02:44,F,697,358,1137,34,0.685,-4.1,45,7.8,Ofav,Fv/Fm,Gradient
03:13.0,7/19/21,7:03:13,F,698,384,1007,38,0.619,-3.7,50,7.4,Pstr,Fv/Fm,Gradient
03:27.0,7/19/21,7:03:27,F,699,367,1306,37,0.719,-3.8,49,7.5,Ofav,Fv/Fm,Gradient
15:16.0,7/19/21,10:15:15,C,,MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=9;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ,,,,,0,3.7,,,
15:16.0,7/19/21,10:15:16,F,701,531,1527,536,0.652,-1.3,705,5,5 PS Ofav,ÆF/Fm',Shallow
15:23.0,7/19/21,10:15:23,F,702,439,1267,538,0.654,-1.2,708,4.9,5 PS Ofav,ÆF/Fm',Shallow
15:33.0,7/19/21,10:15:33,F,703,461,1329,498,0.653,-1,655,4.7,5 PS Ofav,ÆF/Fm',Shallow
15:47.0,7/19/21,10:15:47,F,704,429,1319,533,0.675,-1.2,701,4.9,5 PS Ofav,ÆF/Fm',Shallow
15:58.0,7/19/21,10:15:58,F,705,466,1163,547,0.599,-1.1,720,4.8,5 PS Ofav,ÆF/Fm',Shallow
16:06.0,7/19/21,10:16:06,F,706,492,1505,552,0.673,-1.2,726,4.9,5 PS Ofav,ÆF/Fm',Shallow
16:14.0,7/19/21,10:16:14,F,707,481,1322,553,0.636,-1.2,728,4.9,5 PS Ofav,ÆF/Fm',Shallow
16:22.0,7/19/21,10:16:22,F,708,453,1244,562,0.636,-1,740,4.7,5 PS Ofav,ÆF/Fm',Shallow
16:28.0,7/19/21,10:16:28,F,709,448,1063,570,0.579,-1.1,750,4.8,5 PS Ofav,ÆF/Fm',Shallow
16:39.0,7/19/21,10:16:39,F,710,349,926,575,0.623,-0.9,757,4.6,5 PS Ofav,ÆF/Fm',Shallow
16:48.0,7/19/21,10:16:48,F,711,343,978,582,0.649,-1.1,766,4.8,5 PS Ofav,ÆF/Fm',Shallow
16:55.0,7/19/21,10:16:55,F,712,539,1310,570,0.589,-1.1,750,4.8,5 PS Ofav,ÆF/Fm',Shallow
17:03.0,7/19/21,10:17:03,F,713,646,1481,563,0.564,-1,741,4.7,5 PS Ofav,ÆF/Fm',Shallow
17:10.0,7/19/21,10:17:10,F,714,547,1412,557,0.613,-1.2,733,4.9,5 PS Ofav,ÆF/Fm',Shallow
17:18.0,7/19/21,10:17:18,F,715,501,1386,548,0.639,-1.1,721,4.8,5 PS Ofav,ÆF/Fm',Shallow
17:26.0,7/19/21,10:17:26,F,716,527,1342,539,0.607,-0.9,709,4.6,5 PS Ofav,ÆF/Fm',Shallow
17:37.0,7/19/21,10:17:37,F,717,467,1314,544,0.645,-1.1,716,4.8,5 PS Ofav,ÆF/Fm',Shallow
17:44.0,7/19/21,10:17:44,F,718,444,1265,587,0.649,-1.2,772,4.9,5 PS Ofav,ÆF/Fm',Shallow
17:49.0,7/19/21,10:17:49,F,719,518,1498,589,0.654,-1,775,4.7,5 PS Ofav,ÆF/Fm',Shallow
17:55.0,7/19/21,10:17:55,F,720,508,1340,583,0.621,-1.1,767,4.8,5 PS Ofav,ÆF/Fm',Shallow
18:03.0,7/19/21,10:18:03,F,721,569,1545,573,0.632,-1,754,4.7,5 PS Ofav,ÆF/Fm',Shallow
18:14.0,7/19/21,10:18:14,F,722,464,1127,539,0.588,-1.4,709,5.1,5 PS Ofav,ÆF/Fm',Shallow
18:26.0,7/19/21,10:18:26,F,723,507,1221,408,0.585,-1.1,537,4.8,5 PS Ofav,ÆF/Fm',Shallow
18:33.0,7/19/21,10:18:33,F,724,457,1304,515,0.65,-1.3,678,5,5 PS Ofav,ÆF/Fm',Shallow
18:40.0,7/19/21,10:18:40,F,725,358,923,514,0.612,-1,676,4.7,5 PS Ofav,ÆF/Fm',Shallow
19:36.0,7/19/21,10:19:36,F,726,536,1308,504,0.59,-1,663,4.7,5 PS Ofav,ÆF/Fm',Shallow
19:43.0,7/19/21,10:19:43,F,727,3,3,480,-,-0.9,632,4.6,5 PS Ofav,ÆF/Fm',Shallow
19:55.0,7/19/21,10:19:55,F,728,446,1278,545,0.651,-1,717,4.7,5 PS Ofav,ÆF/Fm',Shallow
20:02.0,7/19/21,10:20:02,F,729,493,1323,474,0.627,-1.1,624,4.8,5 PS Ofav,ÆF/Fm',Shallow
20:10.0,7/19/21,10:20:10,F,730,432,1256,456,0.656,-1.1,600,4.8,5 PS Ofav,ÆF/Fm',Shallow
20:36.0,7/19/21,10:20:36,F,731,405,1092,388,0.629,-1.3,511,5,5 PS Ofav,ÆF/Fm',Shallow
20:47.0,7/19/21,10:20:47,F,732,398,1154,160,0.655,-1.1,211,4.8,5 PS Ofav,ÆF/Fm',Shallow
20:53.0,7/19/21,10:20:53,F,733,462,1203,98,0.616,-1.1,129,4.8,5 PS Ofav,ÆF/Fm',Shallow
20:59.0,7/19/21,10:20:59,F,734,513,1312,51,0.609,-1,67,4.7,5 PS Ofav,ÆF/Fm',Shallow
21:07.0,7/19/21,10:21:07,F,735,465,1290,40,0.64,-0.9,53,4.6,5 PS Ofav,ÆF/Fm',Shallow
21:14.0,7/19/21,10:21:14,F,736,0,0,57,-,-0.8,75,4.5,5 PS Ofav,ÆF/Fm',Shallow
21:23.0,7/19/21,10:21:23,F,737,493,1424,82,0.654,-1.1,108,4.8,5 PS Ofav,ÆF/Fm',Shallow
21:30.0,7/19/21,10:21:30,F,738,447,1440,73,0.69,-1.1,96,4.8,5 PS Ofav,ÆF/Fm',Shallow
21:36.0,7/19/21,10:21:36,F,739,559,1469,54,0.619,-1,71,4.7,5 PS Ofav,ÆF/Fm',Shallow
21:42.0,7/19/21,10:21:42,F,740,457,1250,53,0.634,-1.1,70,4.8,5 PS Ofav,ÆF/Fm',Shallow
23:43.0,7/19/21,10:23:42,C,,MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=8;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ,,,,,0,3.7,10 PS Ofav,ÆF/Fm',Shallow
23:43.0,7/19/21,10:23:43,F,742,371,777,353,0.523,-0.9,465,4.6,10 PS Ofav,ÆF/Fm',Shallow
23:50.0,7/19/21,10:23:50,F,743,414,970,378,0.573,-1.1,497,4.8,10 PS Ofav,ÆF/Fm',Shallow
23:56.0,7/19/21,10:23:56,F,744,417,1051,304,0.603,-1.1,400,4.8,10 PS Ofav,ÆF/Fm',Shallow
24:03.0,7/19/21,10:24:03,F,745,401,918,302,0.563,-0.9,397,4.6,10 PS Ofav,ÆF/Fm',Shallow
24:09.0,7/19/21,10:24:09,F,746,422,1096,406,0.615,-1,534,4.7,10 PS Ofav,ÆF/Fm',Shallow
24:16.0,7/19/21,10:24:16,F,747,344,697,496,0.506,-1.1,653,4.8,10 PS Ofav,ÆF/Fm',Shallow
24:33.0,7/19/21,10:24:33,F,748,458,1189,491,0.615,-0.8,646,4.5,10 PS Ofav,ÆF/Fm',Shallow
24:41.0,7/19/21,10:24:41,F,749,443,1041,366,0.574,-0.8,482,4.5,10 PS Ofav,ÆF/Fm',Shallow
24:48.0,7/19/21,10:24:48,F,750,354,847,241,0.582,-1.2,317,4.9,10 PS Ofav,ÆF/Fm',Shallow
24:56.0,7/19/21,10:24:56,F,751,500,1057,121,0.527,-1,159,4.7,10 PS Ofav,ÆF/Fm',Shallow
25:04.0,7/19/21,10:25:04,F,752,433,1018,88,0.575,-0.8,116,4.5,10 PS Ofav,ÆF/Fm',Shallow
25:11.0,7/19/21,10:25:11,F,753,472,1202,82,0.607,-1.1,108,4.8,10 PS Ofav,ÆF/Fm',Shallow
25:17.0,7/19/21,10:25:17,F,754,518,1168,83,0.557,-1.1,109,4.8,10 PS Ofav,ÆF/Fm',Shallow
25:47.0,7/19/21,10:25:47,F,755,493,998,621,0.506,-0.9,817,4.6,10 PS Ofav,ÆF/Fm',Shallow
25:53.0,7/19/21,10:25:53,F,756,457,1053,592,0.566,-1,779,4.7,10 PS Ofav,ÆF/Fm',Shallow
26:00.0,7/19/21,10:26:00,F,757,435,976,550,0.554,-0.9,724,4.6,10 PS Ofav,ÆF/Fm',Shallow
26:08.0,7/19/21,10:26:08,F,758,404,888,459,0.545,-0.9,604,4.6,10 PS Ofav,ÆF/Fm',Shallow
26:15.0,7/19/21,10:26:15,F,759,382,885,356,0.568,-1.2,468,4.9,10 PS Ofav,ÆF/Fm',Shallow
26:24.0,7/19/21,10:26:24,F,760,386,935,208,0.587,-1,274,4.7,10 PS Ofav,ÆF/Fm',Shallow
26:31.0,7/19/21,10:26:31,F,761,422,1034,131,0.592,-0.9,172,4.6,10 PS Ofav,ÆF/Fm',Shallow
26:36.0,7/19/21,10:26:36,F,762,437,987,106,0.557,-1.1,139,4.8,10 PS Ofav,ÆF/Fm',Shallow
26:50.0,7/19/21,10:26:50,F,763,468,1011,162,0.537,-1.1,213,4.8,10 PS Ofav,ÆF/Fm',Shallow
26:58.0,7/19/21,10:26:58,F,764,328,621,276,0.472,-1,363,4.7,10 PS Ofav,ÆF/Fm',Shallow
27:03.0,7/19/21,10:27:03,F,765,410,944,330,0.566,-0.9,434,4.6,10 PS Ofav,ÆF/Fm',Shallow
27:09.0,7/19/21,10:27:09,F,766,370,879,309,0.579,-1,407,4.7,10 PS Ofav,ÆF/Fm',Shallow
27:16.0,7/19/21,10:27:16,F,767,361,846,208,0.573,-1.2,274,4.9,10 PS Ofav,ÆF/Fm',Shallow
27:23.0,7/19/21,10:27:23,F,768,477,1091,154,0.563,-0.9,203,4.6,10 PS Ofav,ÆF/Fm',Shallow
27:28.0,7/19/21,10:27:28,F,769,441,1066,126,0.586,-1,166,4.7,10 PS Ofav,ÆF/Fm',Shallow
27:36.0,7/19/21,10:27:36,F,770,507,1166,168,0.565,-0.8,221,4.5,10 PS Ofav,ÆF/Fm',Shallow
27:42.0,7/19/21,10:27:42,F,771,387,936,209,0.587,-0.9,275,4.6,10 PS Ofav,ÆF/Fm',Shallow
27:48.0,7/19/21,10:27:48,F,772,340,885,187,0.616,-1.1,246,4.8,10 PS Ofav,ÆF/Fm',Shallow
27:56.0,7/19/21,10:27:56,F,773,496,1260,228,0.606,-1.3,300,5,10 PS Ofav,ÆF/Fm',Shallow
