colony_id,wax_dipping_inititals,wax_dipping_date,weight_before,weight_after,difference,surface_area,,,,,,,,,,,,,,,,,,,
55OFA5ML,TL/HLE,11/29/2022,2.3321,2.6293,0.2972,9.935933148,,,,,,,,,,,,,,,,,,,
15OF2AT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,,,,,,,
15OF2BT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,,,,,,,
15OFA1AT,TL/HLE,11/29/2022,0.5333,0.6291,0.0958,4.325905292,,,,,,,,,,,,,,,,,,,
15OFA1BT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,,,,,,,,,,,,,,,,,,
15OFA3T,TL/HLE,11/29/2022,6.4353,6.9621,0.5268,16.33147632,,,,,,,,,,,,,,,,,,,
15OFA4T,TL/HLE,11/29/2022,2.5169,2.8127,0.2958,9.896935933,,,,,,,,,,,,,,,,,,,
15OFA5T,TL/HLE,11/29/2022,3.9455,4.2262,0.2807,9.47632312,,,,,,,,,,,,,,,,,,,
30OFA1T,TL/HLE,11/29/2022,9.6699,10.3766,0.7067,21.34261838,,,,,,,,,,,,,,,,,,,
30OFA2T,TL/HLE,11/29/2022,12.9347,13.5488,0.6141,18.7632312,,,,,,,,,,,,,,,,,,,
30OFA3T,TL/HLE,11/29/2022,15.621,16.5098,0.8888,26.41504178,,,,,,,,,,,,,,,,,,,
30OFA4T,TL/HLE,11/29/2022,3.2194,3.4802,0.2608,8.922005571,,,,,,,,,,,,,,,,,,,
30OFA5T,TL/HLE,11/29/2022,20.1515,21.0671,0.9156,27.16155989,,,,,,,,,,,,,,,,,,,
45OFA1T,TL/HLE,11/29/2022,5.4573,5.9113,0.454,14.30362117,,,,,,,,,,,,,,,,,,,
45OFA2T,TL/HLE,11/29/2022,13.3543,13.9775,0.6232,19.01671309,,,,,,,,,,,,,,,,,,,
45OFA3T,TL/HLE,11/29/2022,16.7152,17.5018,0.7866,23.56824513,,,,,,,,,,,,,,,,,,,
45OFA4T,TL/HLE,11/29/2022,5.9041,6.3892,0.4851,15.16991643,,,,,,,,,,,,,,,,,,,
45OFA5T,TL/HLE,11/29/2022,24.0326,24.8697,0.8371,24.97493036,,,,,,,,,,,,,,,,,,,
45OFA6T,TL/HLE,11/29/2022,16.7713,17.8395,1.0682,31.41225627,,,,,,,,,,,,,,,,,,,
55OFA1T,TL/HLE,11/29/2022,4.5586,4.8979,0.3393,11.1086351,,,,,,,,,,,,,,,,,,,
55OFA2T,TL/HLE,11/29/2022,1.2307,1.3712,0.1405,5.571030641,,,,,,,,,,,,,,,,,,,
55OFA3T,TL/HLE,11/29/2022,10.8792,11.5269,0.6477,19.69916435,,,,,,,,,,,,,,,,,,,
55OFA4T,TL/HLE,11/29/2022,13.4983,14.1663,0.668,20.26462396,,,,,,,,,,,,,,,,,,,
55OFA5T,TL/HLE,11/29/2022,4.1638,4.4993,0.3355,11.00278552,,,,,,,,,,,,,,,,,,,
15OFR1ML,TL/HLE,11/29/2022,6.3527,6.683,0.3303,10.85793872,,,,,,,,,,,,,,,,,,,
15OFR2ML,TL/HLE,11/29/2022,10.564,10.9588,0.3948,12.6545961,,,,,,,,,,,,,,,,,,,
15OFR3ML,TL/HLE,11/29/2022,13.5087,13.924,0.4153,13.22562674,,,,,,,,,,,,,,,,,,,
15OFR4ML,TL/HLE,11/29/2022,12.4895,13.0732,0.5837,17.91643454,,,,,,,,,,,,,,,,,,,
15OFR5ML,TL/HLE,11/29/2022,8.2775,8.6335,0.356,11.57381616,,,,,,,,,,,,,,,,,,,
30OFR1ML,TL/HLE,11/29/2022,2.4688,2.629,0.1602,6.119777159,,,,,,,,,,,,,,,,,,,
30OFR2ML,TL/HLE,11/29/2022,16.8539,17.4846,0.6307,19.22562674,,,,,,,,,,,,,,,,,,,
30OFR3ML,TL/HLE,11/29/2022,22.8227,23.6941,0.8714,25.93036212,,,,,,,,,,,,,,,,,,,
30OFR4ML,TL/HLE,11/29/2022,7.8127,8.2998,0.4871,15.22562674,,,,,,,,,,,,,,,,,,,
30OFR5ML,TL/HLE,11/29/2022,2.6296,2.79,0.1604,6.125348189,,,,,,,,,,,,,,,,,,,
45OFR1ML,TL/HLE,11/29/2022,8.5426,9.0435,0.5009,15.61002786,,,,,,,,,,,,,,,,,,,
45OFR2ML,TL/HLE,11/29/2022,8.6423,9.1556,0.5133,15.95543175,,,,,,,,,,,,,,,,,,,
45OFR3ML,TL/HLE,11/29/2022,10.5524,11.0687,0.5163,16.03899721,,,,,,,,,,,,,,,,,,,
45OFR4ML,TL/HLE,11/29/2022,7.1586,7.5514,0.3928,12.59888579,,,,,,,,,,,,,,,,,,,
45OFR5ML,TL/HLE,11/29/2022,10.4123,11.0155,0.6032,18.45961003,,,,,,,,,,,,,,,,,,,
55OFR1ML,TL/HLE,11/29/2022,12.7759,13.323,0.5471,16.89693593,,,,,,,,,,,,,,,,,,,
55OFR2ML,TL/HLE,11/29/2022,11.4423,12.0604,0.6181,18.87465181,,,,,,,,,,,,,,,,,,,
55OFR3ML,TL/HLE,11/29/2022,9.4568,9.9935,0.5367,16.60724234,,,,,,,,,,,,,,,,,,,
55OFR4ML,TL/HLE,11/29/2022,2.9915,3.1663,0.1748,6.526462396,,,,,,,,,,,,,,,,,,,
55OFR5ML,TL/HLE,11/29/2022,4.2391,4.5178,0.2787,9.420612813,,,,,,,,,,,,,,,,,,,
15OFR1T,TL/HLE,11/29/2022,9.9771,10.6387,0.6616,20.08635097,,,,,,,,,,,,,,,,,,,
15OFR2T,TL/HLE,11/29/2022,9.1184,9.5405,0.4221,13.41504178,,,,,,,,,,,,,,,,,,,
15OFR3T,TL/HLE,11/29/2022,11.6988,12.5337,0.8349,24.91364903,,,,,,,,,,,,,,,,,,,
15OFR4T,TL/HLE,11/29/2022,13.2074,13.969,0.7616,22.8718663,,,,,,,,,,,,,,,,,,,
15OFR5T,TL/HLE,11/29/2022,8.3699,8.872,0.5021,15.64345404,,,,,,,,,,,,,,,,,,,
30OFR1T,TL/HLE,11/29/2022,10.6732,11.2408,0.5676,17.46796657,,,,,,,,,,,,,,,,,,,
30OFR2T,TL/HLE,11/29/2022,15.5952,16.4204,0.8252,24.64345404,,,,,,,,,,,,,,,,,,,
30OFR3T,TL/HLE,11/29/2022,3.8161,4.1873,0.3712,11.99721448,,,,,,,,,,,,,,,,,,,
30OFR4T,TL/HLE,11/29/2022,5.0166,5.3363,0.3197,10.56267409,,,,,,,,,,,,,,,,,,,
30OFR5T,TL/HLE,11/29/2022,11.7811,12.3524,0.5713,17.57103064,,,,,,,,,,,,,,,,,,,
45OFR1T,TL/HLE,11/29/2022,9.3829,10.0617,0.6788,20.56545961,,,,,,,,,,,,,,,,,,,
45OFR2T,TL/HLE,11/29/2022,9.498,10.0632,0.5652,17.40111421,,,,,,,,,,,,,,,,,,,
45OFR3T,TL/HLE,11/29/2022,12.4563,13.1382,0.6819,20.65181058,,,,,,,,,,,,,,,,,,,
45OFR4T,TL/HLE,11/29/2022,9.8572,10.3795,0.5223,16.20612813,,,,,,,,,,,,,,,,,,,
45OFR5T,TL/HLE,11/29/2022,3.3084,3.5517,0.2433,8.43454039,,,,,,,,,,,,,,,,,,,
45OFR6T,TL/HLE,11/29/2022,7.4492,8.0147,0.5655,17.40947075,,,,,,,,,,,,,,,,,,,
45OFR7T,TL/HLE,11/29/2022,9.5268,10.1248,0.598,18.31476323,,,,,,,,,,,,,,,,,,,
45OFR8T,TL/HLE,11/29/2022,8.4035,8.8316,0.4281,13.5821727,,,,,,,,,,,,,,,,,,,
55OFR1T,TL/HLE,11/29/2022,13.5673,14.3603,0.793,23.74651811,,,,,,,,,,,,,,,,,,,
55OFR2T,TL/HLE,11/29/2022,6.016,6.4006,0.3846,12.37047354,,,,,,,,,,,,,,,,,,,
55OFR3T,TL/HLE,11/29/2022,19.8322,21.0682,1.236,36.08635097,,,,,,,,,,,,,,,,,,,
55OFR4T,TL/HLE,11/29/2022,8.7735,9.2922,0.5187,16.10584958,,,,,,,,,,,,,,,,,,,
55OFR5T,TL/HLE,11/29/2022,6.963,7.3234,0.3604,11.69637883,,,,,,,,,,,,,,,,,,,
15AA1ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA2ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA3ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA4ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA5ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA1ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA2ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA3ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA4ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA5ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA1ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA2ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA3ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA4ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA5ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA1ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA2ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA3ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA4ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA5ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA1AT,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA1BT,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA2AT,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA2BT,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA3T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA4T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15AA5T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA1T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA2T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA3T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA4T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30AA5T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA1T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA2T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA3T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA4T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45AA5T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA1T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA2T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA3T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA4T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55AA5T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN1ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN2ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN3ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN4ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN5ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN1ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN2ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN3ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN4ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN5ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN1ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN2ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN3ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN4ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN5ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN1ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN2ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN3ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN4ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN5ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN1AT,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN1BT,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN2T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN3T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN4T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15CN5T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN1T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN2T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN3T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN4T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30CN5T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN1T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN2T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN3T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN4T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN5T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN6T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45CN7T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN1T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN2T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN3T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN4T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN5T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
55CN6T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
15MC1ML,TL,7/4/23,8.5808,9.1098,0.529,16.39275766,,,,,,,,,,,,,,,,,,,
15MC2ML,TL,7/4/23,4.5331,4.7769,0.2438,8.448467967,,,,,,,,,,,,,,,,,,,
15MC3ML,TL,7/4/23,20.328,21.2028,0.8748,26.02506964,,,,,,,,,,,,,,,,,,,
15MC4ML,TL,7/4/23,21.5497,22.5617,1.012,29.84679666,,,,,,,,,,,,,,,,,,,
15MC5ML,TL,7/4/23,Multiples,Multiples,Multiples,21.72423398,,,,,,,,,,,,,,,,,,,
30MC1ML,TL,7/4/23,10.8409,11.3539,0.513,15.94707521,,,,,,,,,,,,,,,,,,,
30MC2ML,TL,7/4/23,27.4729,28.7503,1.2774,37.23955432,,,,,,,,,,,,,,,,,,,
30MC3ML,TL,7/4/23,8.08,8.4748,0.3948,12.6545961,,,,,,,,,,,,,,,,,,,
30MC4ML,TL,7/4/23,30.7571,31.861,1.1039,32.40668524,,,,,,,,,,,,,,,,,,,
30MC5ML,TL,7/4/23,Multiples,Multiples,Multiples,17.56824513,,,,,,,,,,,,,,,,,,,
45MC1ML,TL,7/4/23,Multiples,Multiples,Multiples,38.22841226,,,,,,,,,,,,,,,,,,,
45MC2ML,TL,7/4/23,4.9983,5.3401,0.3418,11.17827298,,,,,,,,,,,,,,,,,,,
45MC3ML,TL,7/4/23,Multiples,Multiples,Multiples,41.40947075,,,,,,,,,,,,,,,,,,,
45MC4ML,TL,7/4/23,Multiples,Multiples,Multiples,20.55710306,,,,,,,,,,,,,,,,,,,
45MC5ML,TL,7/4/23,Multiples,Multiples,Multiples,24.66573816,,,,,,,,,,,,,,,,,,,
55MC1ML,TL,7/4/23,16.0584,16.8193,0.7609,22.85236769,,,,,,,,,,,,,,,,,,,
55MC2ML,TL,7/4/23,8.304,8.7847,0.4807,15.04735376,,,,,,,,,,,,,,,,,,,
55MC3ML,TL,7/4/23,15.1605,16.0278,0.8673,25.81615599,,,,,,,,,,,,,,,,,,,
55MC4ML,TL,7/4/23,Multiples,Multiples,Multiples,18.49303621,,,,,,,,,,,,,,,,,,,
55MC5ML,TL,7/4/23,25.9487,27.2351,1.2864,37.4902507,,,,,,,,,,,,,,,,,,,
15MC1T,TL,7/4/23,47.1708,48.7718,1.601,46.25348189,,,,,,,,,,,,,,,,,,,
15MC2T,TL,7/4/23,16.1269,17.0361,0.9092,26.98328691,,,,,,,,,,,,,,,,,,,
15MC3T,TL,7/4/23,Multiples,Multiples,Multiples,20.02785515,,,,,,,,,,,,,,,,,,,
15MC4T,TL,7/4/23,Multiples,Multiples,Multiples,20.62952646,,,,,,,,,,,,,,,,,,,
15MC5T,TL,7/4/23,5.6535,6.0036,0.3501,11.40947075,,,,,,,,,,,,,,,,,,,
30MC1T,TL,7/4/23,Multiples,Multiples,Multiples,32.02228412,,,,,,,,,,,,,,,,,,,
30MC2T,TL,7/4/23,20.3987,21.0229,0.6242,19.04456825,,,,,,,,,,,,,,,,,,,
30MC3T,TL,7/4/23,4.4294,4.6352,0.2058,7.389972145,,,,,,,,,,,,,,,,,,,
30MC4T,TL,7/4/23,33.9915,35.1044,1.1129,32.65738162,,,,,,,,,,,,,,,,,,,
30MC5T,TL,7/4/23,8.4006,8.9526,0.552,17.03342618,,,,,,,,,,,,,,,,,,,
45MC1T,TL,7/4/23,27.418,28.5921,1.1741,34.36211699,,,,,,,,,,,,,,,,,,,
45MC2T,TL,7/4/23,Multiples,Multiples,Multiples,29.58495822,,,,,,,,,,,,,,,,,,,
45MC3T,TL,7/4/23,Multiples,Multiples,Multiples,36.22841226,,,,,,,,,,,,,,,,,,,
45MC4T,TL,7/4/23,Multiples,Multiples,Multiples,37.06406685,,,,,,,,,,,,,,,,,,,
45MC5T,TL,7/4/23,Multiples,Multiples,Multiples,30.38718663,,,,,,,,,,,,,,,,,,,
55MC1T,TL,7/4/23,Multiples,Multiples,Multiples,24.00835655,,,,,,,,,,,,,,,,,,,
55MC2T,TL,7/4/23,17.6524,18.4695,0.8171,24.4178273,,,,,,,,,,,,,,,,,,,
55MC3T,TL,7/4/23,23.8691,25.0452,1.1761,34.4178273,,,,,,,,,,,,,,,,,,,
55MC4T,TL,7/4/23,13.9206,14.549,0.6284,19.16155989,,,,,,,,,,,,,,,,,,,
55MC5T,TL,7/4/23,Multiples,Multiples,Multiples,27.81058496,,,,,,,,,,,,,,,,,,,
15PA1ML,TL,7/4/2023,0.9886,1.0931,0.1045,4.568245125,,,,,,,,,,,,,,,,,,,
15PA2ML,TL,7/4/2023,2.6113,2.6908,0.0795,3.871866295,,,,,,,,,,,,,,,,,,,
15PA3ML,TL,7/4/2023,2.1153,2.2815,0.1662,6.286908078,,,,,,,,,,,,,,,,,,,
15PA4ML,TL,7/4/2023,6.5912,7.1374,0.5462,16.8718663,,,,,,,,,,,,,,,,,,,
15PA5ML,TL,7/4/2023,1.0264,1.1643,0.1379,5.498607242,,,,,,,,,,,,,,,,,,,
30PA1ML,TL,7/4/2023,18.0032,18.6097,0.6065,18.55153203,,,,,,,,,,,,,,,,,,,
30PA2ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30PA3ML,TL,7/4/2023,6.6295,7.1581,0.5286,16.3816156,,,,,,,,,,,,,,,,,,,
30PA4ML,TL,7/4/2023,11.233,12.0049,0.7719,23.15877437,,,,,,,,,,,,,,,,,,,
30PA5ML,TL,7/4/2023,1.9323,2.0993,0.167,6.309192201,,,,,,,,,,,,,,,,,,,
45PA1ML,TL,7/4/2023,3.1614,3.5339,0.3725,12.03342618,,,,,,,,,,,,,,,,,,,
45PA2ML,TL,7/4/2023,0.9072,1.0069,0.0997,4.43454039,,,,,,,,,,,,,,,,,,,
45PA3ML,TL,7/4/2023,5.9894,6.3927,0.4033,12.8913649,,,,,,,,,,,,,,,,,,,
45PA4ML,TL,7/4/2023,8.6684,9.357,0.6886,20.83844011,,,,,,,,,,,,,,,,,,,
45PA5ML,TL,7/4/2023,3.3673,3.601,0.2337,8.167130919,,,,,,,,,,,,,,,,,,,
55PA1ML,TL,7/4/2023,3.9216,4.2284,0.3068,10.20334262,,,,,,,,,,,,,,,,,,,
55PA2ML,TL,7/4/2023,0.2038,0.2642,0.0604,3.339832869,,,,,,,,,,,,,,,,,,,
55PA3ML,TL,7/4/2023,5.4401,6.1057,0.6656,20.19777159,,,,,,,,,,,,,,,,,,,
55PA4ML,TL,7/4/2023,9.2279,9.6724,0.4445,14.03899721,,,,,,,,,,,,,,,,,,,
55PA5ML,TL,7/4/2023,1.2901,1.3837,0.0936,4.264623955,,,,,,,,,,,,,,,,,,,
15PA1AT,TL,7/4/2023,0.5564,0.6211,0.0647,3.459610028,,,,,,,,,,,,,,,,,,,
15PA1BT,TL,7/4/2023,0.2902,0.3439,0.0537,3.153203343,,,,,,,,,,,,,,,,,,,
15PA2T,TL,7/4/2023,2.2037,2.3903,0.1866,6.855153203,,,,,,,,,,,,,,,,,,,
15PA3T,TL,7/4/2023,11.6172,11.8509,0.2337,8.167130919,,,,,,,,,,,,,,,,,,,
15PA4T,TL,7/4/2023,0.544,0.642,0.098,4.38718663,,,,,,,,,,,,,,,,,,,
15PA5T,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
30PA1T,TL,7/4/2023,6.8255,7.3045,0.479,15,,,,,,,,,,,,,,,,,,,
30PA2T,TL,7/4/2023,2.4423,2.6703,0.228,8.008356546,,,,,,,,,,,,,,,,,,,
30PA3T,TL,7/4/2023,1.6362,1.8171,0.1809,6.69637883,,,,,,,,,,,,,,,,,,,
30PA4T,TL,7/4/2023,0.3155,0.3669,0.0514,3.08913649,,,,,,,,,,,,,,,,,,,
30PA5T,TL,7/4/2023,7.295,7.7331,0.4381,13.86072423,,,,,,,,,,,,,,,,,,,
45PA1T,TL,7/4/2023,1.0965,1.2053,0.1088,4.688022284,,,,,,,,,,,,,,,,,,,
45PA2T,TL,7/4/2023,2.1552,2.3318,0.1766,6.576601671,,,,,,,,,,,,,,,,,,,
45PA3T,TL,7/4/2023,0.1288,0.1589,0.0301,2.495821727,,,,,,,,,,,,,,,,,,,
45PA4T,TL,7/4/2023,5.2659,5.6665,0.4006,12.81615599,,,,,,,,,,,,,,,,,,,
45PA5T,TL,7/4/2023,13.4403,14.3094,0.8691,25.86629526,,,,,,,,,,,,,,,,,,,
45PA6T,TL,7/4/2023,4.8908,5.207,0.3162,10.46518106,,,,,,,,,,,,,,,,,,,
55PA1T,TL,7/4/2023,6.1807,6.7082,0.5275,16.35097493,,,,,,,,,,,,,,,,,,,
55PA2T,TL,7/4/2023,1.9862,2.2363,0.2501,8.623955432,,,,,,,,,,,,,,,,,,,
55PA3T,TL,7/4/2023,1.5673,1.7138,0.1465,5.73816156,,,,,,,,,,,,,,,,,,,
55PA4T,TL,7/4/2023,7.0285,7.5437,0.5152,16.00835655,,,,,,,,,,,,,,,,,,,
55PA5T,TL,7/4/2023,4.8035,5.0461,0.2426,8.415041783,,,,,,,,,,,,,,,,,,,
15PP1ML,WD,06/27/2023,1.0954,1.2178,0.1224,5.066852368,,,,,,,,,,,,,,,,,,,
15PP2ML,TL,7/4/2023,7.1462,7.8256,0.6794,20.5821727,,,,,,,,,,,,,,,,,,,
15PP3ML,TL,7/4/2023,2.1929,2.4389,0.246,8.509749304,,,,,,,,,,,,,,,,,,,
15PP4ML,TL,06/27/2023,1.7022,1.8825,0.1803,6.679665738,,,,,,,,,,,,,,,,,,,
15PP5ML,TL,06/27/2023,1.4117,1.566,0.1543,5.955431755,,,,,,,,,,,,,,,,,,,
30PP1ML,WD,06/27/2023,1.0576,1.1706,0.113,4.805013928,,,,,,,,,,,,,,,,,,,
30PP2ML,TL,7/4/2023,4.3705,4.8056,0.4351,13.77715877,,,,,,,,,,,,,,,,,,,
30PP3ML,WD,06/27/2023,0.5315,0.06066,-0.47084,-11.45793872,,,,,,,,,,,,,,,,,,,
30PP4ML,WD,06/27/2023,0.3305,0.3804,0.0499,3.04735376,,,,,,,,,,,,,,,,,,,
30PP5ML,WD,06/27/2023,1.2068,1.353,0.1462,5.729805014,,,,,,,,,,,,,,,,,,,
45PP1ML,,,,,0,1.657381616,,,,,,,,,,,,,,,,,,,
45PP2ML,WD,06/27/2023,0.6332,0.7242,0.091,4.192200557,,,,,,,,,,,,,,,,,,,
45PP3ML,WD,06/27/2023,0.49,0.5813,0.0913,4.200557103,,,,,,,,,,,,,,,,,,,
45PP4ML,WD,06/27/2023,0.4166,0.503,0.0864,4.064066852,,,,,,,,,,,,,,,,,,,
